DOC in uM,center,ring 1,ring 2
0,239137.8,58054.27182,22651.11081
1,430299.9843,138268.8978,62633.81668
2,606327.4481,212116.7467,99929.13103
3,793355.9488,287321.5608,137287.0851
4,1025951.269,372827.1498,178639.1319
5,1359559.716,489833.2615,234007.1301
6,1818364.272,653189.0309,311582.7755
7,2426843.066,872111.4001,416049.6921
8,3152829.189,1148117.911,549961.3649
9,3938803.299,1457020.135,701989.9576
10,4790152.612,1793200.841,867805.2014
11,5760178.488,2166372.27,1050536.997
12,6918831.798,2604899.561,1263759.342
13,8302796.202,3127520.583,1517596.882
14,9900141.892,3741407.959,1817258.386
15,11686097.3,4435332.352,2157586.18
16,13683568.73,5212579.65,2539043.743
17,15945474.28,6087193.725,2967535.959
18,18536566.98,7085068.757,3455574.937
19,21505035.14,8227575.656,4014192.731
