Sample,Count,CountsPerMil,Group
ctrl C5,43,2150,ctrl 13A1
ctrl D3,83,4150,ctrl 13A1
ctrl E3,91,4550,ctrl 13A1
C5(1),11900,595000,13A1 SM
D3(1),21564,1078200,13A1 SM
E3(1),20455,1022750,13A1 SM
A6,24496,1224800,13C1 SM
B2,41749,2087450,13C1 SM
F2(1),34930,1746500,13C1 SM
C6(1),66190,3309500,13M1 SM
E4(1),82270,4113500,13M1 SM
E7(1),79844,3992200,13M1 SM
C1(1),65678,3283900,4BL SM
C3(1),66865,3343250,4BL SM
D4(1),70919,3545950,4BL SM
A3,165756,8287800,7G5Y1 SM
B4,158564,7928200,7G5Y1 SM
C4(1),163998,8199900,7G5Y1 SM
B3,24931,1246550,ARW1R1 SM
B5,25551,1277550,ARW1R1 SM
D7(1),31378,1568900,ARW1R1 SM
F1(1),40015,2000750,ARW1T SM
F3(1),24187,1209350,ARW1T SM
F7(1),23439,1171950,ARW1T SM
C2,118605,5930250,B7WZ SM
D6(1),113627,5681350,B7WZ SM
F4(1),115915,5795750,B7WZ SM
B6,10667,533350,EA2 SM
E1(1),21230,1061500,EA2 SM
E2(1),21132,1056600,EA2 SM
A7,3804,190200,ESAW SM
B7,2620,131000,ESAW SM
C7,1539,76950,ESAW SM
B1,57659,2882950,M3-2 SM
D5,66589,3329450,M3-2 SM
F6(1),52838,2641900,M3-2 SM
A5,71388,3569400,N2S SM
D1,97616,4880800,N2S SM
D2,94726,4736300,N2S SM
A1,35760,1788000,N5S SM
E5,34067,1703350,N5S SM
E6,31281,1564050,N5S SM
A2,41461,2073050,Pt SM
A4,28871,1443550,Pt SM
F5(1),26061,1303050,Pt SM
