Sample,Count,CountsPerMil,Group
ctrl A6,123,1230,ctrl
ctrl B2,112,1120,ctrl
ctrl F2,153,1530,ctrl
C5(1),7997,79970,13A1 SM
D3(1),9032,90320,13A1 SM
E3(1),10102,101020,13A1 SM
A6,372,3720,13C1 SM
B2,445,4450,13C1 SM
F2(1),428,4280,13C1 SM
C6(1),4221,42210,13M1 SM
E4(1),5606,56060,13M1 SM
E7(1),5392,53920,13M1 SM
C1(1),1235,12350,4BL SM
C3(1),1245,12450,4BL SM
D4(1),1424,14240,4BL SM
A3,32591,325910,7G5Y1 SM
B4,35076,350760,7G5Y1 SM
C4(1),35552,355520,7G5Y1 SM
B3,11172,111720,ARW1R1 SM
B5,11625,116250,ARW1R1 SM
D7(1),12322,123220,ARW1R1 SM
F1(1),7552,75520,ARW1T SM
F3(1),13402,134020,ARW1T SM
F7(1),14635,146350,ARW1T SM
C2,7916,79160,B7WZ SM
D6(1),8743,87430,B7WZ SM
F4(1),8810,88100,B7WZ SM
B6,3797,37970,EA2 SM
E1(1),1096,10960,EA2 SM
E2(1),2403,24030,EA2 SM
A7,862,8620,ESAW SM
B7,1221,12210,ESAW SM
C7,1244,12440,ESAW SM
B1,25458,254580,M3-2 SM
D5,28143,281430,M3-2 SM
F6(1),28957,289570,M3-2 SM
A5,5210,52100,N2S SM
D1,3201,32010,N2S SM
D2,5335,53350,N2S SM
A1,4307,43070,N5S SM
E5,10206,102060,N5S SM
E6,11018,110180,N5S SM
A2,26689,266890,Pt SM
A4,14585,145850,Pt SM
F5(1),28677,286770,Pt SM
