Sample,Count,CountsPerMil,Group
ctrl C6,65,6500,ctrl
ctrl E4,51,5100,ctrl
ctrl E7,38,3800,ctrl
C5,75250,7525000,13A1 SM
D3,93295,9329500,13A1 SM
E3,85676,8567600,13A1 SM
A6,80050,8005000,13C1 SM
B2,187789,18778900,13C1 SM
F2,102300,10230000,13C1 SM
C6,44846,4484600,13M1 SM
E4,57671,5767100,13M1 SM
E7,62571,6257100,13M1 SM
C1,174933,17493300,4BL SM
C3,101563,10156300,4BL SM
D4,67202,6720200,4BL SM
B3-redo,97024,48512000,7G5Y1 SM
B4,223346,22334600,7G5Y1 SM
C4,223765,22376500,7G5Y1 SM
B3,259658,25965800,ARW1R1 SM
B5,209939,20993900,ARW1R1 SM
D7,157321,15732100,ARW1R1 SM
F1,86172,8617200,ARW1T SM
F3,72505,7250500,ARW1T SM
F7(1),60606,6060600,ARW1T SM
C2,215513,21551300,B7WZ SM
D6,133792,13379200,B7WZ SM
F4,172833,17283300,B7WZ SM
B6,55272,5527200,EA2 SM
E1,126035,12603500,EA2 SM
E2,103946,10394600,EA2 SM
A7,11228,1122800,ESAW SM
B7,8383,838300,ESAW SM
C7,6545,654500,ESAW SM
B1-redo,56902,28451000,M3-2 SM
D5,67075,6707500,M3-2 SM
F6(1),74219,7421900,M3-2 SM
A5,100212,10021200,N2S SM
D1,160590,16059000,N2S SM
D2,100283,10028300,N2S SM
A1-redo,63423,31711500,N5S SM
E5,74990,7499000,N5S SM
E6,66645,6664500,N5S SM
A2-redo,84892,42446000,Pt SM
A4,179920,17992000,Pt SM
F5,98807,9880700,Pt SM
