Sample,Count,CountsPerMil,Group
ctrl B3,35,1750,ctrl ARW1R1
ctrl B5,70,3500,ctrl ARW1R1
ctrl D7,37,1850,ctrl ARW1R1
C5(1),12330,616500,13A1 SM
D3(1),9035,451750,13A1 SM
E3(1),5977,298850,13A1 SM
A6,9425,471250,13C1 SM
B2,6428,321400,13C1 SM
F2(1),3905,195250,13C1 SM
C6(1),9045,452250,13M1 SM
E4(1),2640,132000,13M1 SM
E7(1),3733,186650,13M1 SM
C1(1),7067,353350,4BL SM
C3(1),24208,1210400,4BL SM
D4(1),24516,1225800,4BL SM
A3,8620,431000,7G5Y1 SM
B4,13311,665550,7G5Y1 SM
C4(1),12505,625250,7G5Y1 SM
B3,5950,297500,ARW1R1 SM
B5,6804,340200,ARW1R1 SM
D7(1),2678,133900,ARW1R1 SM
F1(1),1724,86200,ARW1T SM
F3(1),2268,113400,ARW1T SM
F7(1),2410,120500,ARW1T SM
C2,8343,417150,B7WZ SM
D6(1),18001,900050,B7WZ SM
F4(1),16869,843450,B7WZ SM
B6,9357,467850,EA2 SM
E1(1),2619,130950,EA2 SM
E2(1),4005,200250,EA2 SM
A7,8219,410950,ESAW SM
B7,8610,430500,ESAW SM
C7,6895,344750,ESAW SM
B1,4763,238150,M3-2 SM
D5,6709,335450,M3-2 SM
F6(1),5472,273600,M3-2 SM
A5,14761,738050,N2S SM
D1,4366,218300,N2S SM
D2,5310,265500,N2S SM
A1,4476,223800,N5S SM
E5,2499,124950,N5S SM
E6,3378,168900,N5S SM
A2,4820,241000,Pt SM
A4,7801,390050,Pt SM
F5(1),4247,212350,Pt SM
