Sample,Count,CountsPerMil,Group
ctrl F1,81,4050,ctrl ARW1T
ctrl F3,91,4550,ctrl ARW1T
ctrl F7,72,3600,ctrl ARW1T
C5(1),33420,1671000,13A1 SM
D3(1),10838,541900,13A1 SM
E3(1),6193,309650,13A1 SM
A6,30852,1542600,13C1 SM
B2,6477,323850,13C1 SM
F2(1),5295,264750,13C1 SM
C6(1),43691,2184550,13M1 SM
E4(1),7753,387650,13M1 SM
E7(1),17490,874500,13M1 SM
C1(1),12099,604950,4BL SM
C3(1),44341,2217050,4BL SM
D4(1),12134,606700,4BL SM
A3,124277,6213850,7G5Y1 SM
B4,190450,9522500,7G5Y1 SM
C4(1),188048,9402400,7G5Y1 SM
B3,145290,7264500,ARW1R1 SM
B5,158062,7903100,ARW1R1 SM
D7(1),106342,5317100,ARW1R1 SM
F1(1),9336,466800,ARW1T SM
F3(1),6182,309100,ARW1T SM
F7,29109,1455450,ARW1T SM
C2,40813,2040650,B7WZ SM
D6(1),88162,4408100,B7WZ SM
F4(1),65867,3293350,B7WZ SM
B6,53480,2674000,EA2 SM
E1(1),7258,362900,EA2 SM
E2(1),5522,276100,EA2 SM
A7,8056,402800,ESAW SM
B7,5689,284450,ESAW SM
C7,5719,285950,ESAW SM
B1,10562,528100,M3-2 SM
D5,26912,1345600,M3-2 SM
F6,25616,1280800,M3-2 SM
A5,103662,5183100,N2S SM
D1,20677,1033850,N2S SM
D2,12001,600050,N2S SM
A1,7158,357900,N5S SM
E5,12183,609150,N5S SM
E6,19311,965550,N5S SM
A2,27017,1350850,Pt SM
A4,103047,5152350,Pt SM
F5,18683,934150,Pt SM
