Sample,Count,CountsPerMil,Group
ctrl1,84,2100,ctrl
ctrl2,138,3450,ctrl
ctrl3,29,725,ctrl
C5(1),86267,2156675,13A1 SM
D3(1),73532,1838300,13A1 SM
E3(1),74863,1871575,13A1 SM
A6,83307,2082675,13C1 SM
B2(1),76470,1911750,13C1 SM
F2(1),61825,1545625,13C1 SM
C6(1),56274,1406850,13M1 SM
E4(1),53601,1340025,13M1 SM
E7(1),78321,1958025,13M1 SM
C1(1),50616,1265400,4BL SM
C3(1),48370,1209250,4BL SM
D4(1),49123,1228075,4BL SM
A3,163416,4085400,7G5Y1 SM
B4,148607,3715175,7G5Y1 SM
C4(1),107555,2688875,7G5Y1 SM
B3,99758,2493950,ARW1R1 SM
B5,108128,2703200,ARW1R1 SM
D7(1),180446,4511150,ARW1R1 SM
F1(1),71350,1783750,ARW1T SM
F3(1),51263,1281575,ARW1T SM
F7(1),112293,2807325,ARW1T SM
C2,32279,806975,B7WZ SM
D6(1),59122,1478050,B7WZ SM
F4(1),48724,1218100,B7WZ SM
B6,55272,1381800,EA2 SM
E1(1),40321,1008025,EA2 SM
E2(1),37922,948050,EA2 SM
A7,6295,157375,ESAW SM
B7,6413,160325,ESAW SM
C7,9971,249275,ESAW SM
B1,79047,1976175,M3-2 SM
D5,83504,2087600,M3-2 SM
F6(1),147748,3693700,M3-2 SM
A5,112390,2809750,N2S SM
D1,66536,1663400,N2S SM
D2,61502,1537550,N2S SM
A1,81244,2031100,N5S SM
E5,102354,2558850,N5S SM
E6,92762,2319050,N5S SM
A2,114159,2853975,Pt SM
A4,115715,2892875,Pt SM
F5(1),138234,3455850,Pt SM
