Sample,Count,CountsPerMil,Group
ctrl1,93,4650,ctrl
ctrl2,41,2050,ctrl
ctrl3,52,2600,ctrl
C5(1),62335,3116750,13A1 SM
D3(1),42810,2140500,13A1 SM
E3(1),40473,2023650,13A1 SM
A6,81181,4059050,13C1 SM
B2(1),61186,3059300,13C1 SM
F2(1),56293,2814650,13C1 SM
C6(1),80850,4042500,13M1 SM
E4(1),87171,4358550,13M1 SM
E7(1),112236,5611800,13M1 SM
C1(1),177648,8882400,4BL SM
C3(1),125185,6259250,4BL SM
D4(1),139403,6970150,4BL SM
A3,338885,16944250,7G5Y1 SM
B4,247946,12397300,7G5Y1 SM
C4(1),247967,12398350,7G5Y1 SM
B3,120567,6028350,ARW1R1 SM
B5,226409,11320450,ARW1R1 SM
D7(1),224239,11211950,ARW1R1 SM
F1(1),119733,5986650,ARW1T SM
F3(1),79360,3968000,ARW1T SM
F7(1),183783,9189150,ARW1T SM
C2,217292,10864600,B7WZ SM
D6(1),392114,19605700,B7WZ SM
F4(1),221871,11093550,B7WZ SM
B6,76973,3848650,EA2 SM
E1(1),75266,3763300,EA2 SM
E2(1),59709,2985450,EA2 SM
A7,114937,5746850,ESAW SM
B7,106214,5310700,ESAW SM
C7,111063,5553150,ESAW SM
B1,173344,8667200,M3-2 SM
D5,101442,5072100,M3-2 SM
F6(1),188925,9446250,M3-2 SM
A5,183182,9159100,N2S SM
D1,116689,5834450,N2S SM
D2,98974,4948700,N2S SM
A1,206588,10329400,N5S SM
E5,58331,2916550,N5S SM
E6,68763,3438150,N5S SM
A2,186365,9318250,Pt SM
A4,172915,8645750,Pt SM
F5(1),182947,9147350,Pt SM
