Sample,Count,CountsPerMil,Group
ctrl B1,19,950,ctrl
ctrl D5,16,800,ctrl
ctrl F6,24,1200,ctrl
C5(1),43692,2184600,13A1 SM
D3(1),40680,2034000,13A1 SM
E3(1),29079,1453950,13A1 SM
A6,88,4400,13C1 SM
B2,32811,1640550,13C1 SM
F2(1),35777,1788850,13C1 SM
C6(1),53248,2662400,13M1 SM
E4(1),45642,2282100,13M1 SM
E7(1),99935,4996750,13M1 SM
C1(1),58464,14616000,4BL SM
C3(1),47968,11992000,4BL SM
D4(1),66028,16507000,4BL SM
A3,83896,20974000,7G5Y1 SM
B4(1),60536,15134000,7G5Y1 SM
C4(1),60162,15040500,7G5Y1 SM
B3,155622,7781100,ARW1R1 SM
B5,180147,9007350,ARW1R1 SM
D7(1),53263,13315750,ARW1R1 SM
F1(1),37955,1897750,ARW1T SM
F3(1),41197,2059850,ARW1T SM
F7(1),50952,2547600,ARW1T SM
C2(1),43492,10873000,B7WZ SM
D6(1),103698,25924500,B7WZ SM
F4(1),51255,12813750,B7WZ SM
B6,38001,1900050,EA2 SM
E1(1),38426,1921300,EA2 SM
E2(1),28433,1421650,EA2 SM
A7,150758,7537900,ESAW SM
B7,177702,8885100,ESAW SM
C7,246986,12349300,ESAW SM
B1,74544,3727200,M3-2 SM
D5,96918,4845900,M3-2 SM
F6(1),116199,5809950,M3-2 SM
A5(1),88744,22186000,N2S SM
D1,181910,9095500,N2S SM
D2,146108,7305400,N2S SM
A1,59678,2983900,N5S SM
E5,52230,2611500,N5S SM
E6,54590,2729500,N5S SM
A2,25749,1287450,Pt SM
A4,143343,7167150,Pt SM
F5(1),39918,1995900,Pt SM
