Sample,Count,CountsPerMil,Group
ctrl A5,204,2040,ctrl N2S
ctrl D1,57,570,ctrl N2S
ctrl D2,32,320,ctrl N2S
C5(1),32026,320260,13A1 SM
D3(1),25536,255360,13A1 SM
E3(1),19039,190390,13A1 SM
A6,11144,111440,13C1 SM
B2(1),9255,92550,13C1 SM
F2(1),8045,80450,13C1 SM
C6(1),24741,247410,13M1 SM
E4(1),13573,135730,13M1 SM
E7(1),11261,112610,13M1 SM
C1(1),14686,146860,4BL SM
C3(1),22343,223430,4BL SM
D4(1),20117,201170,4BL SM
A3,29979,299790,7G5Y1 SM
B4,32328,323280,7G5Y1 SM
C4(1),26180,261800,7G5Y1 SM
B3,299051,2990510,ARW1R1 SM
B5,331206,3312060,ARW1R1 SM
D7(1),349442,3494420,ARW1R1 SM
F1(1),9400,94000,ARW1T SM
F3(1),10925,109250,ARW1T SM
F7(1),15174,151740,ARW1T SM
C2,19157,191570,B7WZ SM
D6(1),27778,277780,B7WZ SM
F4(1),25272,252720,B7WZ SM
B6,49345,493450,EA2 SM
E1(1),12336,123360,EA2 SM
E2(1),15244,152440,EA2 SM
A7,735,7350,ESAW SM
B7,426,4260,ESAW SM
C7,360,3600,ESAW SM
B1,19436,194360,M3-2 SM
D5,28536,285360,M3-2 SM
F6(1),10604,106040,M3-2 SM
A5,13037,130370,N2S SM
D1,10337,103370,N2S SM
D2,11227,112270,N2S SM
A1,9736,97360,N5S SM
E5,12124,121240,N5S SM
E6,9998,99980,N5S SM
A2,11504,115040,Pt SM
A4,12110,121100,Pt SM
F5(1),12495,124950,Pt SM
