,13M1,ARW1R1,ARW1T,EA2,N2S,N5S,PT13A,PT13C1,PT3-2,PTEAB7WZ
13M1,1,0.630552488443022,0.677649281045306,0.693669575095871,0.816511935586472,0.872014513594093,0.489681557696383,0.710745462080775,0.270546703965928,0.394118342799389
ARW1R1,0.339428352818715,1,0.392717681583134,0.410796284027785,0.744887738592527,0.685826212988093,0.544591465745671,0.705403240931228,0.492545906233187,0.194969199274355
ARW1T,0.645469198487363,0.670555414225813,1,0.6895007707376,0.777447781873674,0.802171870960482,0.551632039273699,0.774700739978525,0.475754065187776,0.241336006967588
EA2,0.456133908884864,0.483556831857757,0.472600467699207,1,0.701846228470666,0.750063368589492,0.415088748842226,0.635603046638252,0.243338286811366,0.302533457162119
N2S,0.258613561539596,0.366474902520327,0.247450394148279,0.345941759895812,1,0.814014594442668,0.309564000065399,0.6630205998199,0.0901075355567011,0.0753234932151944
N5S,0.126754363914113,0.217176972794687,0.11023976781675,0.197599865055228,0.65895286287395,1,0.16506083430319,0.486593813858883,0.0938185946887118,0
PT13A,0.296345149669913,0.584760516394193,0.336277944130256,0.413292216582712,0.72653451659398,0.716468208652207,1,0.774390557995033,0.291935740339037,0.20108048282207
PT13C1,0.25180214481281,0.402635372965441,0.289741321186767,0.339112994328721,0.793200906494666,0.744428761658841,0.393883857786054,1,0.207840303539381,0.00348859225637045
PT3-2,0.225537736395233,0.584856664206222,0.362085916264013,0.310869003424835,0.695709588204909,0.861822688133445,0.408952084015283,0.767878836323122,1,0.0570676143298401
PTEAB7WZ,0.504685148677019,0.554453923158429,0.350436103826676,0.620265970077887,0.76299243597487,0.862413520335155,0.515059384177063,0.561258939303021,0.220679456778216,1
