,Alcanivorax EA2,Algoriphagus ARW1R1,Oceanicaulis 13A,Devosia EAB7WZ,Thalassospira 13M1,Stappia ARW1T,Amylibacter N2S,Sulfitobacter N5S,Roseibium 13C1,Marinobacter 3-2
Alcanivorax EA2,-0.6091157393490181,0.053461004339510954,-0.7314445794842381,0.5330793191781302,-0.4831371362916269,-0.2938824514456122,-0.2644316863601406,-0.384608291361367,-0.6336220807890423,-0.14480282243414644
Algoriphagus ARW1R1,-0.0525847759070428,-0.08513161014939519,0.620939056201091,1.5618330566753618,-0.08596158406450083,-0.6204647853924591,0.44871946881669444,-0.38623428977946406,0.17133032961821204,0.0045055726820015796
Oceanicaulis 13A,-0.44986669156474024,-0.15076820930980472,-0.44063365597086923,2.6117456661790794,1.3684707395765252,-0.09079497473882958,1.7359870530017738,0.04891434025292285,0.049609411471787324,0.8371251024451984
Devosia EAB7WZ,-0.6372939463418344,0.05494039792669558,-0.36251860866919483,-0.6193372597172568,-0.48874786747367616,-0.36185575972269,-0.34685472741695367,-0.2492420702619883,-0.3979973268714616,-0.15704358503482674
Thalassospira 13M1,-0.5943426144112448,-0.10846190273710976,-0.6384731230810581,-0.25746920804849927,-0.765228879373481,-0.6881583419488699,-0.4865021679866096,-0.34761308158427284,-0.47362650333410605,-0.3944654835769149
Stappia ARW1T,-0.554545637895218,1.7543009270775207,-0.6608267729769339,0.30988860279535047,-0.5365688047490034,-0.6999805038084801,-0.08341008558155782,-0.7401493811639899,-0.7134463216064861,-0.5758569920737897
Amylibacter N2S,1.1303553130798414,26.131712315489217,1.1213824808219557,0.9996953668060595,0.37292641723669995,-0.01689329530034056,-0.041762441496579705,-0.1177268824946689,-0.21227394832313273,0.6221994516602511
Sulfitobacter N5S,-0.5184106796479437,0.9744555713852556,-0.29013486627595464,0.09623811561034556,-0.3465610553379549,-0.22629871613286423,0.09288203458258759,-0.3528827822244005,-0.5632484206066697,-0.19868165826954143
Roseibium 13C1,-0.8956984174636531,-0.49794856399479637,-0.6121427856642507,-0.6359022744492573,-0.7824334176780889,-0.4912295749882061,-0.8034910151391689,-0.6350159397292391,-0.9822018269931809,0.18022615831081756
Marinobacter 3-2,-0.49830151667384337,1.8806468590019616,-0.45719822018085254,3.747260896607818,-0.04872972585043778,-0.3775226065738482,2.6923496483421845,-0.20339696665231333,-0.6714224199799053,0.37630256925505967
