sample_name,C_permil,N_permil,ROIAREA,version
F1-1,3905.478,67.60479,1.963806,1
F1-1,3730.538,72.09184,0.8926392,1
F1-1,2449.643,62.0213,1.977539,1
F1-1,4483.774,86.67091,2.568054,1
F1-1,3084.001,38.36997,1.400757,1
F1-1,1871.515,76.18901,1.675415,1
F1-1,2925.146,27.73351,1.167297,1
F1-1,3805.424,49.35032,2.49939,1
F1-1,1935.158,157.8658,0.5905151,1
F1-1,2902.443,25.95572,2.252197,1
F1-1,2737.649,25.68158,1.249695,1
F1-1,2727.958,14.18689,2.101135,1
F1-1,5256.158,76.37142,1.029968,1
F1-1,3719.705,49.62413,0.8651733,1
F1-1,3593.714,72.86668,2.59552,1
F1-1,3171.844,-45.24532,0.4119873,1
F1-1,2599.55,33.99952,1.771545,1
F1-1,2863.082,82.365,0.7278442,1
F1-1,3001.045,64.29539,0.9750366,1
F1-1,2390.506,120.837,0.9063721,1
F1-1,2047.771,-6.403921,1.263428,1
F1-1,763.0231,154.2572,0.7965088,1
F1-1,2634.87,100.0362,1.208496,1
F1-1,3337.905,100.8385,0.769043,1
F1-1,2912.142,-0.5216421,1.071167,1
F1-1,3152.417,-84.85271,0.3570557,1
F1-1,3077.885,51.6399,0.9338379,1
F1-1,3356.546,29.92663,0.5218506,1
F1-1,1128.568,32.30873,0.5630493,1
F1-1,3433.305,150.783,0.3707886,1
F1-1,931.8186,94.1373,0.8377075,1
F1-1,1194.995,-85.61361,0.4394531,1
F1-1,1746.67,126.5359,0.6454468,1
F1-1,402.8723,199.2885,0.9338379,1
F1-1,367.7126,110.6428,0.7965088,1
F1-1,3225.313,-26.57051,0.5218506,1
F1-1,1197.727,-3.697399,0.8514404,1
F1-1,2574.16,86.47594,0.6454468,1
F1-1,1647.216,53.41703,1.455688,1
F1-1,666.9305,59.95194,1.290894,1
F1-1,2791.077,161.875,0.8789063,1
F1-1,1528.974,84.28903,0.8102417,1
F1-1,852.2603,31.61324,1.098633,1
F1-1,1412.578,58.47449,1.496887,1
F1-1,401.2558,66.66412,0.7141113,1
F1-1,-22.44072,144.0513,0.3707886,1
F1-2,572.8493,138.1017,1.126099,1
F1-2,628.7463,185.1791,1.799011,1
F1-2,479.0589,91.35777,1.963806,1
F1-2,622.4268,172.928,0.7003784,1
F1-2,242.0361,167.7497,0.7965088,1
F1-2,464.7052,157.5025,1.167297,1
F1-2,537.4156,273.8732,1.016235,1
F1-2,446.7965,175.7453,0.8789063,1
F1-2,445.1006,113.0841,1.332092,1
F1-2,320.1405,-30.06509,1.016235,1
F1-2,395.8999,72.87421,0.5767822,1
F1-2,464.9491,33.43812,0.5081177,1
F1-2,358.097,182.3554,0.6454468,1
F1-2,50.21307,-68.30664,0.8102417,1
F1-2,512.2004,136.2074,0.9338379,1
F1-2,408.9708,96.93388,0.8377075,1
F1-2,517.4897,178.297,1.194763,1
F1-2,177.4221,95.51691,1.304626,1
F1-2,367.5784,121.6579,0.5630493,1
F1-2,359.5009,136.6983,0.6591797,1
F1-2,441.5905,149.6683,0.7827759,1
F1-2,346.8132,68.29253,1.112366,1
F1-2,356.5284,141.493,0.8926392,1
F1-2,106.5166,104.3239,0.7415771,1
F1-2,465.677,138.5068,1.359558,1
F1-2,395.0062,76.59143,0.5493164,1
F1-2,286.9701,153.9514,0.4394531,1
F1-2,132.254,177.9898,0.9063721,1
F1-2,93.99207,293.7097,0.3295898,1
F1-2,343.5953,101.752,0.4669189,1
F1-2,207.8351,132.3491,0.6866455,1
F1-2,167.2703,59.16587,0.5355835,1
F1-2,242.3615,69.70952,0.7141113,1
F1-2,328.8363,112.9436,0.4943848,1
F1-2,477.6241,58.98487,0.6317139,1
F1-2,389.6983,430.2144,0.3295898,1
F1-2,130.8352,69.15263,1.318359,1
F1-2,287.9616,577.4948,0.5630493,1
F1-2,361.5312,147.9854,0.4806519,1
F1-2,50.58658,83.55247,0.6454468,1
F1-2,220.5477,125.0442,0.7141113,1
F1-2,350.1546,45.67815,0.5630493,1
F1-2,345.9228,18.59766,0.8377075,1
F1-2,367.1277,38.30503,0.5630493,1
F1-2,392.3549,291.1721,0.453186,1
F1-2,331.3027,111.3361,0.3707886,1
F1-2,370.0995,105.338,0.4257202,1
F1-2,310.3141,77.19893,0.3158569,1
F1-2,534.2762,-68.4965,0.3295898,1
F1-2,152.807,147.2842,0.6317139,1
F1-2,225.5691,140.4511,0.3845215,1
F1-2,346.0529,58.32928,0.5905151,1
F1-2,257.2332,80.17377,0.4394531,1
F1-2,228.4237,39.62888,0.8651733,1
F1-2,285.9141,129.302,0.3295898,1
F1-2,228.1268,39.97207,0.2883911,1
F1-2,425.2359,555.1356,0.2883911,1
F1-2,611.8978,76.9556,1.538086,1
F1-2,515.0353,144.5419,1.496887,1
F1-2,544.1539,66.54943,1.524353,1
F1-2,526.2053,127.603,1.41449,1
F1-2,522.4764,84.71008,1.194763,1
F1-2,474.5255,45.03572,0.5493164,1
F1-2,355.8146,112.934,0.8102417,1
F1-2,436.2347,127.8362,1.702881,1
F1-2,461.4689,182.5762,1.689148,1
F1-2,299.021,111.452,0.7415771,1
F1-2,383.5467,37.94698,1.098633,1
F1-2,259.4716,59.48947,1.304626,1
F1-2,238.3387,167.8032,0.7278442,1
F1-2,320.4083,87.62238,0.9063721,1
F1-2,325.7008,125.9442,0.8102417,1
F1-2,369.3209,141.6453,0.3433228,1
F1-2,407.8542,166.8705,0.6317139,1
F1-2,108.3702,167.3988,0.3845215,1
F1-2,227.243,184.9182,0.9475708,1
F1-2,286.631,282.4785,0.4943848,1
F1-2,284.8244,19.53157,1.153564,1
F1-2,419.428,8.716729,0.5905151,1
F1-2,348.9129,120.1787,0.604248,1
F1-2,344.834,148.7292,0.5905151,1
F1-2,400.4927,82.82871,0.604248,1
F1-2,356.7215,117.9962,1.126099,1
F1-2,611.018,66.25871,1.249695,1
F1-2,576.7084,149.2037,1.153564,1
F1-2,274.5474,37.76514,0.8926392,1
F1-2,471.5804,120.6502,1.235962,1
F1-2,63.58615,11.17037,2.210999,1
F1-2,522.1369,201.2688,1.675415,1
F1-2,482.2252,86.86551,0.9475708,1
F1-2,476.5494,-45.73325,0.302124,1
F1-2,609.9514,163.4799,0.9338379,1
F1-2,526.0069,160.8275,1.194763,1
F1-2,539.4966,55.2702,0.9475708,1
F1-2,536.8242,64.05285,0.920105,1
F1-2,436.847,82.69781,0.9750366,1
F1-2,483.6219,103.1038,1.565552,1
F1-2,147.7696,24.47419,1.387024,1
F1-2,518.072,70.9174,1.222229,1
F1-2,459.235,98.16927,0.8102417,1
F1-2,490.5799,115.0505,0.617981,1
F1-2,551.797,153.2229,1.318359,1
F1-2,441.4762,-31.42317,0.3707886,1
F1-2,325.222,395.1761,0.4257202,1
F1-2,483.6984,79.86682,0.8651733,1
F1-2,270.0835,97.42094,0.8514404,1
F1-2,437.0936,109.2643,0.3982544,1
F1-2,464.5149,13.48732,1.208496,1
F1-2,413.977,49.56793,0.604248,1
F1-2,372.529,180.7658,0.3570557,1
F1-2,348.9837,228.5271,0.5493164,1
F1-2,309.9211,42.0933,1.304626,1
F1-2,290.1065,158.9449,0.617981,1
F1-2,422.341,-69.15917,0.5355835,1
F1-2,335.1805,257.9726,0.5905151,1
F1-2,500.3615,39.43843,0.7003784,1
F1-2,381.8082,49.67559,1.0849,1
F1-2,298.7563,66.23312,0.5355835,1
F1-2,348.02,159.1297,0.4943848,1
F1-2,287.8989,202.4555,0.3707886,1
F1-2,286.9485,91.76658,0.6591797,1
F1-2,419.3915,125.6524,0.7553101,1
F1-2,350.5651,218.7141,0.2334595,1
F1-2,408.6974,250.2855,0.3845215,1
F1-2,359.1331,407.4167,0.6591797,1
F1-2,314.8698,103.6781,0.5905151,1
F1-2,401.3684,282.7212,0.3570557,1
F1-2,366.083,108.9333,0.3845215,1
F1-2,345.7579,105.0384,0.5630493,1
F1-2,374.3274,170.3199,0.5218506,1
F1-2,507.8828,172.0264,0.3982544,1
F1-2,290.2505,168.5468,0.302124,1
F1-2,423.6768,212.8033,0.4669189,1
F1-2,266.0683,92.0489,0.2609253,1
F1-2,426.3566,46.04922,0.4669189,1
F1-2,323.4583,145.2937,0.5493164,1
F1-2,349.1354,242.4813,0.4806519,1
F1-2,295.3838,108.4381,0.4394531,1
F1-2,271.1688,200.3442,0.4806519,1
F1-2,335.0987,-5.319743,0.3845215,1
F1-2,244.1846,617.5424,0.2471924,1
F1-2,369.5527,84.61575,0.5218506,1
F1-2,281.867,80.29531,0.5630493,1
F1-2,393.6245,142.0249,0.3982544,1
F1-3,2257.014,92.99184,1.469421,1
F1-3,4225.654,64.54197,2.568054,1
F1-3,4387.211,35.10117,2.210999,1
F1-3,3237.107,55.6077,2.883911,1
F1-3,3945.259,27.04585,1.469421,1
F1-3,5964.425,15.0165,1.895142,1
F1-3,4957.767,39.1867,2.403259,1
F1-3,5113.818,18.97177,0.7965088,1
F1-3,3898.815,40.25199,2.032471,1
F1-3,3805.103,118.5312,2.554321,1
F1-3,3267.148,60.4595,2.636719,1
F1-3,2701.58,100.4496,2.293396,1
F1-3,4779.946,98.85505,1.455688,1
F1-3,3400.671,92.58396,0.7965088,1
F1-3,5146.538,6.297944,0.9613037,1
F1-3,3174.894,24.06437,0.4806519,1
F1-3,5949.41,71.47668,0.6591797,1
F1-3,4170.61,45.35888,2.362061,1
F1-3,3913.06,74.89212,3.419495,1
F1-3,3663.585,69.42465,2.980042,1
F1-3,4220.525,36.27332,1.826477,1
F1-3,2462.317,56.38318,1.565552,1
F1-3,3692.765,92.17966,1.359558,1
F1-3,3766.808,98.99467,1.991272,1
F1-3,3727.854,95.09067,0.2471924,1
F1-3,4075.43,69.83916,1.373291,1
F1-3,3761.773,48.16945,1.593018,1
F1-3,3120.697,60.77211,3.501892,1
F1-3,3508.837,67.40665,1.387024,1
F1-3,2259.932,53.42712,1.249695,1
F1-3,2868.368,109.0354,1.524353,1
F1-3,3468.641,69.39542,2.059937,1
F1-3,4002.709,37.77572,1.167297,1
F1-3,4186.697,72.1475,3.927612,1
F1-3,4454.854,-43.11414,0.8651733,1
F1-3,4127,20.41109,0.9338379,1
F1-3,4864.297,72.3494,0.8102417,1
F1-3,5297.924,47.40755,1.84021,1
F1-3,2715.526,78.005,1.963806,1
F1-3,3050.004,12.46993,2.348328,1
F1-3,2367.716,78.65429,1.373291,1
F1-3,3810.262,49.58532,1.029968,1
F1-3,4661.023,56.74837,1.977539,1
F1-3,3592.378,121.506,0.9475708,1
F1-3,4635,48.45036,5.081177,1
F1-3,5884.333,92.9007,1.016235,1
F1-3,3822.552,22.07684,2.430725,1
F1-3,4454.371,57.35593,2.801514,1
F1-3,2128.51,97.08773,3.186035,1
F1-3,4287.007,85.16131,1.895142,1
F1-3,4019.528,59.28721,2.581787,1
F1-3,4414.434,91.59703,2.471924,1
F1-3,2938.337,66.42921,1.565552,1
F1-3,4058.906,6.143625,1.551819,1
F1-3,4281.206,49.0973,2.1698,1
F1-3,3441.213,81.77927,2.26593,1
F1-3,4314.739,40.95552,3.488159,1
F1-3,5286.753,66.91876,2.128601,1
F1-3,3578.01,44.0999,2.142334,1
F1-3,3727.981,62.06132,1.41449,1
F1-3,4479.857,14.66605,1.757813,1
F1-3,6910.886,69.94451,0.6729126,1
F1-3,4772.645,33.93152,1.84021,1
F1-3,3125.764,46.25383,3.103638,1
F1-3,4194.827,95.47857,1.524353,1
F1-3,3869.178,81.5777,1.675415,1
F1-3,2383.03,67.47768,2.526855,1
F1-3,2691.426,77.51883,1.332092,1
F1-3,4741.808,42.11456,1.551819,1
F1-3,4046.457,68.38309,1.702881,1
F1-3,3429.392,67.72254,1.126099,1
F1-3,4835.321,46.51704,1.277161,1
F1-3,4063.693,72.48413,1.400757,1
F1-3,2993.282,76.22397,1.634216,1
F1-3,2981.774,100.7109,1.029968,1
F1-3,4120.134,56.18788,1.60675,1
F1-3,3801.446,57.91708,2.540588,1
F1-3,4891.29,52.86105,2.156067,1
F1-3,2825.606,63.95195,1.441956,1
F1-3,3896.854,101.6381,2.224731,1
F1-3,3651.397,64.2863,1.002502,1
F1-3,4877.213,43.0333,2.279663,1
F1-3,2606.93,79.43764,2.087402,1
F1-3,2913.932,79.46825,1.689148,1
F1-3,5199.735,73.85416,1.41449,1
F1-3,5278.408,46.97149,2.059937,1
F1-3,5379.64,3.939814,1.249695,1
F1-3,5071.564,44.26852,2.444458,1
F1-3,3485.676,84.21165,1.400757,1
F1-3,5038.187,54.00939,1.428223,1
F1-3,3690.133,70.29742,0.7278442,1
F1-3,4017.804,138.1875,1.002502,1
F1-3,5250.354,79.93838,1.126099,1
F1-3,3288.775,82.71254,1.799011,1
F1-3,3721.112,48.43468,1.373291,1
F1-3,3273.095,76.89893,1.208496,1
F1-3,4100.121,65.42885,1.551819,1
F1-3,3679.945,43.3322,0.617981,1
F1-3,5370.88,78.24154,1.826477,1
F1-3,4294.866,57.99471,1.469421,1
F1-3,6410.283,51.05045,0.6317139,1
F1-3,4242.297,47.6959,1.524353,1
F1-3,6045.292,30.96911,1.345825,1
F1-3,5122.07,30.22369,1.826477,1
F1-3,5304.899,47.35633,1.0849,1
F1-3,4606.559,92.40038,1.991272,1
F1-3,3120.656,48.72196,1.18103,1
F1-3,4024.789,75.27643,0.7965088,1
F1-3,2817.41,108.0911,2.114868,1
F1-3,2642.923,53.16825,1.826477,1
F1-3,3746.326,89.08396,3.598022,1
F1-3,3263.678,78.33319,0.3570557,1
F1-3,3508.423,71.03844,0.7003784,1
F1-3,2902.962,40.37173,0.4257202,1
F1-3,4746.521,79.52171,2.416992,1
F1-3,4598.627,55.87066,2.526855,1
F1-3,4696.002,-17.28591,1.428223,1
F1-3,4262.799,58.98081,1.400757,1
F1-3,5232.269,43.22386,2.801514,1
F1-3,3244.272,-34.22049,0.1647949,1
F1-3,4002.734,108.5901,1.016235,1
F1-3,3885.125,53.85595,1.139832,1
F1-3,3222.346,103.6449,1.112366,1
F1-3,3382.236,59.357,2.883911,1
F1-3,4555.235,56.91298,2.403259,1
F1-3,4208.781,34.87273,1.963806,1
F1-3,6708.166,51.8208,0.453186,1
F1-3,4389.723,22.90214,2.416992,1
F1-3,4639.21,51.52371,0.4943848,1
F1-3,5581.512,113.9809,0.7553101,1
F1-3,3360.311,86.23027,1.016235,1
F1-3,4383.205,79.68085,3.062439,1
F1-3,4355.81,33.07359,2.581787,1
F1-3,5005.456,31.89565,2.334595,1
F1-3,5238.854,61.0949,0.6866455,1
F1-3,3117.555,-4.018458,0.7827759,1
F1-3,3687.298,94.27644,2.650452,1
F1-3,4014.851,50.28075,0.5493164,1
F1-3,4781.759,132.562,0.3158569,1
F1-3,4924.665,51.73606,0.3707886,1
F1-3,4651.14,20.93052,0.1922607,1
F1-3,4389.416,9.17534,0.769043,1
F1-3,3905.6,85.27287,2.746582,1
F1-3,4080.821,75.35969,1.263428,1
F1-3,3592.188,15.46049,1.538086,1
F1-3,3544.813,76.59392,0.2197266,1
F1-3,3868.644,57.96864,1.702881,1
F1-3,4638.012,81.93482,1.977539,1
F1-3,4609.252,18.227,1.098633,1
F1-3,5743.733,36.12279,1.0849,1
F1-3,3749.411,89.77051,1.483154,1
F1-3,3772.726,42.38118,1.400757,1
F1-3,5180.868,-13.8088,0.5081177,1
F1-3,3967.593,54.47752,1.153564,1
F1-3,3687.071,111.2615,1.93634,1
F1-3,6212.643,23.41533,0.4806519,1
F1-3,4448.058,38.25766,2.032471,1
F1-3,4667.916,109.0256,1.167297,1
F1-3,5998.589,44.89755,0.3158569,1
F1-3,3354.599,71.94836,2.980042,1
F1-3,4386.311,115.2967,0.8102417,1
F1-3,3544.403,97.00928,0.3982544,1
F1-3,7282.532,-15.02771,0.4943848,1
F1-3,3205.51,79.96586,1.881409,1
F1-3,3966.585,8.777772,1.51062,1
F1-3,2891.509,115.2033,1.387024,1
F1-3,4110.099,66.69527,0.604248,1
F1-3,4057.873,21.24513,1.194763,1
F1-3,4767.538,80.88929,1.963806,1
F1-3,6010.726,-8.657978,0.5630493,1
F1-3,4736.449,24.00391,1.373291,1
F1-3,2549.358,81.37176,0.9338379,1
F1-3,4261.036,90.5423,0.5355835,1
F1-3,3468.108,72.24245,0.9750366,1
F1-3,3299.341,75.43795,1.029968,1
F1-3,3992.405,36.58023,1.153564,1
F1-3,3019.727,46.00051,0.5081177,1
F1-3,4172.115,91.63152,1.071167,1
F1-3,4395.896,38.04251,0.8377075,1
F1-3,4918.402,42.58431,0.5630493,1
F1-3,3063.183,78.62569,0.8651733,1
F1-3,3413.93,53.40972,1.977539,1
F1-3,4475.598,90.18247,1.263428,1
F1-3,2803.459,94.87196,1.620483,1
F1-3,2557.469,94.92286,2.746582,1
F1-3,4679.139,49.97066,0.3982544,1
F1-3,4855.472,43.60529,0.7553101,1
F1-3,5714.315,55.00965,1.991272,1
F1-3,2568.684,70.90125,1.661682,1
F1-3,2047.561,97.36877,2.032471,1
F1-3,4803.31,128.3348,0.5493164,1
F1-3,4360.162,49.59814,2.018738,1
F1-3,3754.201,72.21295,1.538086,1
F1-3,3299.305,32.68768,1.029968,1
F1-3,4398.094,102.5589,0.302124,1
F1-3,4382.464,43.35762,1.867676,1
F1-3,2342.305,99.35388,1.84021,1
F1-3,3992.032,37.84499,0.7965088,1
F1-3,4785.743,27.97417,1.593018,1
F1-3,3322.298,88.16408,1.222229,1
F1-3,3753.443,69.85863,1.675415,1
F1-3,3921.88,118.9293,0.3707886,1
F1-3,3585.926,56.88321,1.895142,1
F1-3,3858.126,95.36924,1.60675,1
F1-3,4536.796,45.33233,0.9613037,1
F1-3,3730.042,83.36526,0.6591797,1
F1-3,1973.005,80.6436,0.9475708,1
F1-3,3466.72,50.55508,1.496887,1
F1-3,4238.478,116.1221,1.593018,1
F1-3,3637.439,72.37803,1.74408,1
F1-3,3565.073,56.42827,1.222229,1
F1-3,5048.791,41.12361,1.730347,1
F1-3,5416.848,55.6628,0.5355835,1
F1-3,3214.547,77.4075,2.568054,1
F1-3,3073.702,60.99451,1.304626,1
F1-3,3081.074,69.91004,0.9063721,1
F1-3,3652.683,46.20586,2.389526,1
F1-3,3340.956,32.93187,1.373291,1
F1-3,4975.211,54.68066,1.071167,1
F1-3,3957.24,54.19101,0.9750366,1
F1-3,4427.222,53.83586,1.208496,1
F1-3,3171.082,56.48755,0.5630493,1
F1-3,5698.378,54.14417,1.565552,1
F1-3,4537.64,73.11427,0.617981,1
F1-3,3575.028,89.3688,2.636719,1
F1-3,3890.826,52.95904,2.362061,1
F1-3,3255.884,50.69712,1.51062,1
F1-3,3459.519,80.16859,0.920105,1
F1-3,3840.844,61.63217,1.60675,1
F1-3,2768.979,57.73316,1.318359,1
F1-3,3827.398,70.96888,1.208496,1
F1-3,2918.071,83.9902,1.895142,1
F1-3,2632.316,151.6484,1.249695,1
F1-3,4699.974,56.89589,0.1647949,1
F1-3,5718.02,40.09578,1.029968,1
F1-3,4722.358,65.6086,2.334595,1
F1-3,3684.564,78.61174,0.9613037,1
F1-3,2870.033,86.26406,2.032471,1
F1-3,3859.008,116.2309,0.9063721,1
F1-3,2200.001,82.31783,0.8514404,1
F1-3,2918.999,85.82767,0.9063721,1
F1-3,5514.169,51.09586,2.046204,1
F1-3,4900.785,140.7327,0.4943848,1
F1-3,2492.685,76.58665,1.689148,1
F1-3,3077.58,168.048,0.4394531,1
F1-3,2511.861,114.1285,0.4257202,1
F1-3,5322.054,102.6903,0.9063721,1
F1-3,7693.049,11.1294,0.2746582,1
F1-3,4591.217,62.35386,1.332092,1
F1-3,2022.255,86.59407,1.139832,1
F1-3,6332.697,51.21173,0.6454468,1
F1-3,3876.635,2.007461,0.8651733,1
F1-3,3444.319,74.6102,0.9338379,1
F1-3,3606.907,112.4368,0.7827759,1
F1-3,4787.689,40.99002,0.2471924,1
F1-3,2372.056,1.014772,0.5355835,1
F1-3,3042.348,35.36318,1.290894,1
F1-3,4328.034,89.02218,2.1698,1
F1-3,2178.33,69.89602,1.194763,1
F1-3,4185.744,58.01196,0.8239746,1
F1-3,4415.143,82.55608,0.920105,1
F1-3,3902.724,70.74677,0.2471924,1
F1-3,4859.532,56.03484,2.252197,1
F1-3,3376.754,119.6877,0.5630493,1
F1-3,3511.175,49.6683,0.8789063,1
F1-3,4769.197,67.55,0.3845215,1
F1-3,4404.907,31.90945,1.41449,1
F1-3,4208.009,72.34232,0.3570557,1
F1-3,2999.29,76.89017,0.453186,1
F1-3,4535.143,54.12936,0.6317139,1
F1-3,2674.638,64.92324,0.7278442,1
F1-3,5550.601,-5.95285,0.2609253,1
F1-3,7367.109,27.3982,0.4669189,1
F1-3,2315.313,44.40576,0.6454468,1
F1-3,4434.845,57.05599,0.2059937,1
F1-3,3624.261,78.73865,1.373291,1
F1-3,2754.586,23.62622,1.002502,1
F1-3,1940.231,90.12675,1.029968,1
F1-3,5167.687,18.19522,1.318359,1
F1-3,2756.171,114.4401,0.7003784,1
F1-3,3998.012,89.53088,0.920105,1
F1-3,2566.65,122.3711,0.302124,1
F1-3,4115.281,103.843,0.151062,1
F1-3,2313.153,134.1063,0.2471924,1
F1-3,4384.651,79.65121,2.114868,1
F1-3,2517.105,96.29765,1.318359,1
F1-3,2728.896,5.869881,0.4806519,1
F1-3,2898.789,71.47525,1.524353,1
F1-3,3543.057,2.087738,0.3707886,1
F1-3,2140.338,16.40468,1.455688,1
F1-3,4155.621,116.6641,0.5767822,1
F1-3,1936.673,178.7716,0.4257202,1
F1-3,4345.983,41.20537,2.49939,1
F1-3,4135.124,11.97841,0.9613037,1
F1-3,4076.415,81.86848,0.769043,1
F1-3,3048.987,8.386094,0.6454468,1
F1-3,5916.662,73.60535,0.3295898,1
F1-3,6164.86,73.6231,0.3295898,1
F1-3,4004.264,31.42361,0.5630493,1
F1-3,4558.613,156.68,0.9887695,1
F1-3,5108.365,118.8972,0.4257202,1
F1-3,3809.101,107.5381,1.029968,1
F1-3,2820.259,87.37937,1.043701,1
F1-3,2134.673,55.25694,1.277161,1
F1-3,3434.632,93.64133,1.098633,1
F1-3,-18.71539,24.05081,0.8926392,1
F1-3,3990.987,49.50289,1.0849,1
F1-3,3669.784,108.0372,0.7965088,1
F1-3,2042.297,100.51,1.263428,1
F1-3,3609.296,108.3966,0.3707886,1
F1-3,3734.265,78.52791,2.005005,1
F1-3,3116.217,69.94672,0.8377075,1
F1-3,2447.575,59.09367,1.016235,1
F1-3,1517.121,87.22482,2.005005,1
F1-3,2207.587,44.67334,2.032471,1
F1-3,1492.694,158.8726,0.7141113,1
F1-3,1645.409,76.89248,0.8789063,1
F1-3,1323.884,134.1119,3.323364,1
F1-3,2016.907,167.1333,1.098633,1
F1-3,-22.26618,80.95638,1.441956,1
F1-3,949.814,52.92789,1.496887,1
F1-3,2808.214,1.127262,0.8651733,1
F1-3,2028.771,28.42193,0.4257202,1
F1-3,1696.944,-4.452627,0.2059937,1
F1-3,1716.264,33.85597,1.716614,1
F1-3,1183.004,153.1826,1.112366,1
F1-4,3137.805,99.12796,1.771545,1
F1-4,812.8848,18.35429,1.524353,1
F1-4,797.5731,57.36336,0.9338379,1
F1-4,558.9022,89.57542,0.9750366,1
F1-4,622.1464,108.6089,1.345825,1
F1-4,553.7174,205.7394,1.249695,1
F1-4,553.0115,105.9385,0.920105,1
F1-4,507.3981,266.8615,0.9475708,1
F1-4,706.1735,8.270507,0.8789063,1
F1-4,669.3624,69.03589,0.7415771,1
F1-4,622.7074,195.1781,1.139832,1
F1-4,412.7637,115.4179,1.263428,1
F1-4,504.3892,189.0459,0.6454468,1
F1-4,506.6621,-18.83119,1.194763,1
F1-4,488.8857,256.6926,1.208496,1
F1-4,398.0502,29.65875,0.5081177,1
F1-4,395.9391,63.29895,1.74408,1
F1-4,587.859,167.0866,0.453186,1
F1-4,610.0226,68.43247,1.661682,1
F1-4,422.5001,183.0667,1.826477,1
F1-4,524.9803,-6.480986,0.617981,1
F1-4,484.0887,35.1903,0.604248,1
F1-4,422.1638,53.68435,0.6454468,1
F1-4,355.1944,88.48296,1.208496,1
F1-4,344.9362,15.30657,1.263428,1
F1-4,353.1068,241.5906,0.4257202,1
F1-4,342.2087,35.07434,0.2746582,1
F1-4,389.3353,192.7859,0.920105,1
F1-4,317.502,33.28508,0.6454468,1
F1-4,211.6765,107.0434,1.290894,1
F1-4,294.8479,72.80992,0.7003784,1
F1-4,334.5426,89.50346,0.4943848,1
F1-4,345.3138,164.6589,1.332092,1
F1-4,245.7288,46.06271,0.6866455,1
F1-4,539.5216,180.0903,0.8377075,1
F1-4,334.0902,95.48026,0.9475708,1
F1-4,202.9797,93.29099,0.9475708,1
F1-4,207.109,46.79703,0.5218506,1
F1-4,178.8601,66.07815,1.290894,1
F1-4,326.0621,59.46347,0.7278442,1
F1-4,344.9994,58.7632,0.2334595,1
F1-4,305.2603,65.37072,0.5081177,1
F1-4,339.9302,256.741,0.5630493,1
F1-4,191.7182,106.2189,1.126099,1
F1-4,178.7701,115.7948,0.7141113,1
F1-4,206.781,153.813,0.5081177,1
F1-4,121.9791,184.3334,0.7141113,1
F1-4,310.3631,156.1831,0.7965088,1
F1-4,135.3881,29.06024,0.9613037,1
F1-4,160.1937,190.9064,0.3845215,1
F1-4,196.8784,159.261,0.5218506,1
F1-4,194.3978,128.452,0.9338379,1
F1-4,230.6291,176.2173,0.5218506,1
F1-4,270.9016,175.0305,0.4394531,1
F1-4,308.5594,275.5561,0.5355835,1
F1-4,207.9949,192.8196,0.6591797,1
F1-4,168.5005,605.3978,0.3570557,1
F1-4,190.4896,107.4678,0.3982544,1
F1-4,309.0916,242.3206,0.2609253,1
F1-4,138.9236,81.82476,0.5355835,1
F1-4,297.8516,73.99899,0.7965088,1
F1-4,135.1318,-91.06663,0.2883911,1
F1-4,886.0029,127.2865,1.689148,1
F1-4,783.4731,92.85658,0.769043,1
F1-4,841.9349,187.6476,0.5630493,1
F1-4,714.2518,110.1616,0.7141113,1
F1-4,699.2008,105.7088,0.7553101,1
F1-4,678.2627,97.40214,2.911377,1
F1-4,518.0887,72.01361,0.5493164,1
F1-4,563.1232,-64.55676,0.6591797,1
F1-4,783.4968,-14.38225,0.9475708,1
F1-4,653.4815,82.74618,0.8239746,1
F1-4,661.1685,-8.917301,0.4669189,1
F1-4,536.3627,193.9762,0.8102417,1
F1-4,549.2148,97.7617,0.9063721,1
