id,Strain,Time,Treatment,Microplate,Ring,Direction,Abundance
tube 1,Alcanivorax EA2,0,3,0,1,0,447974.3227
tube 2,Devosia EAB7WZ,0,1,0,1,0,171711.185
tube 3,Marinobacter 3-2,0,4,0,1,0,2129779.285
tube 3,Marinobacter 3-2,0,1,0,2,0,2129779.285
tube 3,Marinobacter 3-2,0,2,0,2,0,2129779.285
tube 3,Marinobacter 3-2,0,3,0,2,0,2129779.285
tube 3,Marinobacter 3-2,0,4,0,2,0,2129779.285
1A1,Devosia EAB7WZ,5,1,1,1,1,1815635.369
1A2,Devosia EAB7WZ,5,1,1,1,3,1740219.949
1A3,Devosia EAB7WZ,5,1,1,1,5,1571456.269
1A4,Marinobacter 3-2,5,1,1,2,1,1865805.545
1A5,Marinobacter 3-2,5,1,1,2,3,1731106.471
1A6,Marinobacter 3-2,5,1,1,2,5,1895186.616
1A7,Devosia EAB7WZ,5,1,2,1,1,1347661.631
1A8,Devosia EAB7WZ,5,1,2,1,3,1398164.491
1A9,Devosia EAB7WZ,5,1,2,1,5,1355526.008
1A10,Marinobacter 3-2,5,1,2,2,1,762860.9434
1A11,Marinobacter 3-2,5,1,2,2,3,2433574.468
1A12,Marinobacter 3-2,5,1,2,2,5,1276600.012
1B1,Devosia EAB7WZ,5,1,3,1,1,1513428.253
1B2,Devosia EAB7WZ,5,1,3,1,3,2322750.163
1B3,Devosia EAB7WZ,5,1,3,1,5,1509336.454
1B4,Marinobacter 3-2,5,1,3,2,1,1650060.718
1B5,Marinobacter 3-2,5,1,3,2,3,1540283.098
1B6,Marinobacter 3-2,5,1,3,2,5,1284418.21
1B7,None,5,2,1,1,1,716942.9147
1B8,None,5,2,1,1,3,459064.8098
1B9,None,5,2,1,1,5,670282.3972
1B10,Marinobacter 3-2,5,2,1,2,1,808061.4025
1B11,Marinobacter 3-2,5,2,1,2,3,1436097.541
1B12,Marinobacter 3-2,5,2,1,2,5,1418789.442
1C1,None,5,2,2,1,1,809460.1213
1C2,None,5,2,2,1,3,781568.052
1C3,None,5,2,2,1,5,732783.844
1C4,Marinobacter 3-2,5,2,2,2,1,1323416.832
1C5,Marinobacter 3-2,5,2,2,2,3,1912457.759
1C6,Marinobacter 3-2,5,2,2,2,5,1478262.418
1C7,None,5,2,3,1,1,771063.6415
1C8,None,5,2,3,1,3,581533.4138
1C9,None,5,2,3,1,5,620020.3969
1C10,Marinobacter 3-2,5,2,3,2,1,1441499.34
1C11,Marinobacter 3-2,5,2,3,2,3,1530396.962
1C12,Marinobacter 3-2,5,2,3,2,5,1266500.699
1D1,Alcanivorax EA2,5,3,1,1,1,764318.3962
1D2,Alcanivorax EA2,5,3,1,1,3,394152.0569
1D3,Alcanivorax EA2,5,3,1,1,5,522886.3017
1D4,Marinobacter 3-2,5,3,1,2,1,828779.4713
1D5,Marinobacter 3-2,5,3,1,2,3,1367602.259
1D6,Marinobacter 3-2,5,3,1,2,5,710252.1835
1D7,Alcanivorax EA2,5,3,2,1,1,980445.2463
1D8,Alcanivorax EA2,5,3,2,1,3,722984.1279
1D9,Alcanivorax EA2,5,3,2,1,5,562388.6465
1D10,Marinobacter 3-2,5,3,2,2,1,1611851.531
1D12,Marinobacter 3-2,5,3,2,2,5,584075.0132
1E1,Alcanivorax EA2,5,3,3,1,1,306212.5488
1E2,Alcanivorax EA2,5,3,3,1,3,924572.3104
1E3,Alcanivorax EA2,5,3,3,1,5,1770135.714
1E4,Marinobacter 3-2,5,3,3,2,1,3693456.25
1E5,Marinobacter 3-2,5,3,3,2,3,2466293.76
1E6,Marinobacter 3-2,5,3,3,2,5,1239739.02
1E7,Devosia EAB7WZ,5,1,4,1,1,14329342.59
1E9,Devosia EAB7WZ,5,1,4,1,5,1595508.282
1E10,Marinobacter 3-2,5,1,4,2,1,853667.4894
1E11,Marinobacter 3-2,5,1,4,2,5,286418.2127
1F1,Devosia EAB7WZ,5,1,5,1,1,1649313.883
1F2,Devosia EAB7WZ,5,1,5,1,3,8947527.817
1F3,Devosia EAB7WZ,5,1,5,1,5,3121750.969
1F4,Marinobacter 3-2,5,1,5,2,1,224363.2046
1F5,Marinobacter 3-2,5,1,5,2,3,573205.5537
1F6,Marinobacter 3-2,5,1,5,2,5,1027811.801
